Structure Acceleration, RAO-Based Response,,
Line A: Structure Acceleration, RAO-Based Response - Global RX (Trimaran) [?s²],,
Line B: Structure Acceleration, RAO-Based Response - Global RY (Trimaran) [?s²],,
Line C: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [?s²],,
,,,
*Time (s),Line A (?s?,Line B (?s?,Line C (?s?
99.87099,-7.85E-02,2.598276615,8.31E-02
99.87199,-7.85E-02,2.596962929,8.31E-02
99.87299,-7.85E-02,2.595639706,8.31E-02
99.874,-7.85E-02,2.594286203,8.30E-02
99.875,-0.07849025,2.59294343,8.30E-02
99.876,-7.85E-02,2.591581106,8.30E-02
99.877,-0.078477755,2.590219021,8.29E-02
99.878,-0.078470916,2.588837385,8.29E-02
99.879,-7.85E-02,2.587457657,8.29E-02
99.88,-7.85E-02,2.586055756,8.28E-02
99.881,-7.85E-02,2.584657192,8.28E-02
99.882,-7.84E-02,2.583237886,8.27E-02
99.883,-7.84E-02,2.581820011,0.082706593
99.884,-7.84E-02,2.580391884,8.27E-02
99.88499,-7.84E-02,2.578943491,8.26E-02
99.88599,-7.84E-02,2.577497959,8.26E-02
99.88699,-7.84E-02,2.576029778,8.26E-02
99.888,-7.84E-02,2.57455349,8.25E-02
99.889,-7.84E-02,2.573067904,0.082479827
99.89,-7.84E-02,2.571571589,8.24E-02
99.891,-7.84E-02,2.570065975,8.24E-02
99.892,-7.84E-02,2.568562984,8.24E-02
99.893,-7.83E-02,2.567039013,8.23E-02
99.894,-7.83E-02,2.565517664,8.23E-02
99.895,-7.83E-02,2.56396246,8.22E-02
99.896,-7.83E-02,2.562422276,8.22E-02
99.897,-7.83E-02,2.560872793,8.22E-02
99.89799,-7.83E-02,2.559301138,8.21E-02
99.89899,-7.83E-02,2.557720661,8.21E-02
99.89999,-7.83E-02,2.556130648,8.20E-02
99.90099,-7.83E-02,2.554542542,0.081994042
99.902,-7.83E-02,2.552921295,8.20E-02
99.903,-7.82E-02,2.551302671,8.19E-02
99.904,-7.82E-02,2.549674034,8.19E-02
99.905,-7.82E-02,2.548050404,8.18E-02
99.906,-7.82E-02,2.546390057,8.18E-02
99.907,-7.82E-02,2.544746876,8.17E-02
99.908,-7.82E-02,2.543081284,8.17E-02
99.909,-7.82E-02,2.541406631,8.16E-02
99.91,-7.82E-02,2.539735079,8.16E-02
99.911,-7.81E-02,2.538028717,8.16E-02
99.91199,-0.078126922,2.536337614,8.15E-02
99.91299,-0.078112818,2.534626007,8.15E-02
99.91399,-7.81E-02,2.532904148,8.14E-02
99.91499,-7.81E-02,2.531172752,8.14E-02
99.916,-7.81E-02,2.529418707,8.13E-02
99.917,-7.81E-02,2.527667522,8.13E-02
99.918,-7.80E-02,2.525908947,8.12E-02
99.919,-7.80E-02,2.524139881,8.12E-02
99.92,-7.80E-02,2.522362709,8.11E-02
99.921,-7.80E-02,2.520575523,8.11E-02
99.922,-7.80E-02,2.518779039,8.10E-02
99.923,-7.80E-02,2.516987801,8.10E-02
99.924,-7.79E-02,2.515158176,8.09E-02
99.925,-7.79E-02,2.513333559,8.09E-02
99.92599,-7.79E-02,2.511499405,8.08E-02
99.92699,-7.79E-02,2.509656668,8.08E-02
99.92799,-7.79E-02,2.507804394,8.07E-02
99.92899,-7.79E-02,2.505942822,8.07E-02
99.93,-7.78E-02,2.504041433,8.06E-02
99.931,-7.78E-02,2.502176523,8.06E-02
99.932,-7.78E-02,2.500272036,8.05E-02
99.933,-7.78E-02,2.498373508,8.05E-02
99.934,-7.78E-02,2.496480942,0.080434576
99.935,-7.78E-02,2.494548559,8.04E-02
99.936,-7.77E-02,2.492621899,8.03E-02
99.937,-7.77E-02,2.490685701,8.03E-02
99.938,-7.77E-02,2.488740921,8.02E-02
99.939,-7.77E-02,2.486771345,0.080169752
99.93999,-7.77E-02,2.484808445,8.01E-02
99.94099,-7.76E-02,2.48283577,8.01E-02
99.94199,-7.76E-02,2.480854511,8.00E-02
99.94299,-7.76E-02,2.478847504,8.00E-02
99.944,-7.76E-02,2.476831436,7.99E-02
99.945,-7.76E-02,2.474806309,0.079842135
99.946,-7.75E-02,2.472787619,7.98E-02
99.947,-7.75E-02,2.470777273,7.97E-02
99.948,-0.077488974,2.468724012,7.97E-02
99.949,-7.75E-02,2.466677666,7.96E-02
99.95,-0.077444926,2.464605808,7.96E-02
99.951,-7.74E-02,2.462541819,0.079504982
99.952,-7.74E-02,2.460452795,0.079447404
99.953,-7.74E-02,2.458370209,7.94E-02
99.95399,-7.74E-02,2.45626235,7.93E-02
99.95499,-7.73E-02,2.454161167,7.93E-02
99.95599,-7.73E-02,2.452034473,7.92E-02
99.957,-7.73E-02,2.44989872,7.92E-02
99.958,-7.73E-02,2.447754145,7.91E-02
99.959,-7.72E-02,2.445616961,7.90E-02
99.96,-7.72E-02,2.443470716,7.90E-02
99.961,-7.72E-02,2.441298962,7.89E-02
99.962,-7.72E-02,2.439134836,7.89E-02
99.963,-7.71E-02,2.436944485,7.88E-02
99.964,-7.71E-02,2.434761524,7.87E-02
99.965,-7.71E-02,2.432553768,7.87E-02
99.966,-7.71E-02,2.430352211,7.86E-02
99.967,-7.70E-02,2.428126335,7.86E-02
99.96799,-7.70E-02,2.425907612,7.85E-02
99.96899,-7.70E-02,2.423644543,7.84E-02
99.96999,-7.70E-02,2.421407461,7.84E-02
99.971,-7.69E-02,2.419126987,7.83E-02
99.972,-7.69E-02,2.416871786,7.82E-02
99.973,-0.076870285,2.414609432,7.82E-02
99.974,-7.68E-02,2.412318468,7.81E-02
99.975,-7.68E-02,2.410019636,7.80E-02
99.976,-7.68E-02,2.407710552,7.80E-02
99.977,-7.68E-02,2.405412197,7.79E-02
99.978,-7.67E-02,2.403086185,7.79E-02
99.979,-7.67E-02,2.400750637,0.077789694
99.98,-7.67E-02,2.398406267,7.77E-02
99.981,-7.66E-02,2.396071196,7.77E-02
99.98199,-7.66E-02,2.393689632,7.76E-02
99.98299,-7.66E-02,2.391337395,7.75E-02
99.98399,-7.65E-02,2.388956547,7.75E-02
99.985,-7.65E-02,2.386549234,7.74E-02
99.986,-7.65E-02,2.384168863,7.73E-02
99.987,-7.65E-02,2.381762505,7.73E-02
99.988,-7.64E-02,2.379345417,7.72E-02
99.989,-7.64E-02,2.376920938,7.71E-02
99.99,-7.64E-02,2.37448597,7.71E-02
99.991,-7.63E-02,2.372043848,7.70E-02
99.992,-7.63E-02,2.369591236,7.69E-02
99.993,-7.63E-02,2.367131472,7.68E-02
99.994,-7.62E-02,2.36466074,7.68E-02
99.995,-7.62E-02,2.362181902,7.67E-02
99.99599,-7.62E-02,2.359694958,7.66E-02
99.99699,-0.076131098,2.357198477,7.66E-02
99.99799,-7.61E-02,2.35469389,7.65E-02
99.999,-7.61E-02,2.352179766,0.076426275
100,-7.60E-02,2.34963727,7.64E-02
100.001,-7.60E-02,2.347104788,0.076283224
100.002,-7.60E-02,2.344564199,0.076211579
100.003,-7.59E-02,2.342015266,7.61E-02
100.004,-7.59E-02,2.339437246,7.61E-02
100.005,-7.59E-02,2.336890221,0.075994961
100.006,-7.58E-02,2.334294319,7.59E-02
100.007,-0.075780101,2.331709623,7.58E-02
100.008,-7.57E-02,2.329116106,7.58E-02
100.009,-7.57E-02,2.326514721,7.57E-02
100.00999,-0.075669602,2.323883295,0.075627327
100.01099,-7.56E-02,2.321264267,7.56E-02
100.01199,-7.56E-02,2.318656445,7.55E-02
100.013,-7.56E-02,2.315978527,7.54E-02
100.014,-7.55E-02,2.313332319,7.53E-02
100.015,-7.55E-02,2.310656548,7.53E-02
100.016,-7.54E-02,2.307993889,7.52E-02
100.017,-7.54E-02,2.305322409,7.51E-02
100.018,-7.54E-02,2.30264163,7.50E-02
100.019,-7.53E-02,2.299931288,7.49E-02
100.02,-7.53E-02,2.297234297,0.074872188
100.021,-7.52E-02,2.294506788,7.48E-02
100.022,-7.52E-02,2.291791201,7.47E-02
100.02299,-7.52E-02,2.289046288,0.074639693
100.02399,-7.51E-02,2.286313295,7.46E-02
100.02499,-7.51E-02,2.283573151,0.074484184
100.02599,-7.50E-02,2.28080225,7.44E-02
100.027,-7.50E-02,2.278022528,7.43E-02
100.028,-7.50E-02,2.275233984,7.42E-02
100.029,-7.49E-02,2.272457838,7.42E-02
100.03,-7.49E-02,2.269652128,7.41E-02
100.031,-7.48E-02,2.26685977,7.40E-02
100.032,-7.48E-02,2.264015198,7.39E-02
100.033,-7.47E-02,2.261205435,7.38E-02
100.034,-0.074703224,2.258364677,7.38E-02
100.035,-0.074660026,2.25553894,7.37E-02
100.036,-7.46E-02,2.252703905,7.36E-02
100.03699,-7.46E-02,2.24981451,7.35E-02
100.03799,-7.45E-02,2.246962547,0.073441781
100.03899,-7.45E-02,2.244079351,7.34E-02
100.03999,-0.074438751,2.241211176,7.33E-02
100.041,-7.44E-02,2.238264799,7.32E-02
100.042,-7.43E-02,2.235378504,7.31E-02
100.043,-7.43E-02,2.232461691,7.30E-02
100.044,-0.07425496,2.229536533,7.29E-02
100.045,-7.42E-02,2.226602793,7.29E-02
100.046,-7.42E-02,2.223682165,7.28E-02
100.047,-7.41E-02,2.220707655,7.27E-02
100.048,-7.41E-02,2.217771769,0.072608158
100.049,-7.40E-02,2.214803696,7.25E-02
100.05,-7.40E-02,2.211826801,7.24E-02
100.05099,-7.39E-02,2.208841562,7.24E-02
100.05199,-0.073876716,2.205847979,7.23E-02
100.05299,-7.38E-02,2.20284605,7.22E-02
100.05399,-0.073779285,2.199836016,7.21E-02
100.055,-7.37E-02,2.196794033,7.20E-02
100.056,-7.37E-02,2.193766832,7.19E-02
100.057,-7.36E-02,2.190732241,7.18E-02
100.058,-7.36E-02,2.187664747,0.071746401
100.059,-0.073530376,2.18463707,7.17E-02
100.06,-7.35E-02,2.181552172,7.16E-02
100.061,-7.34E-02,2.178483486,7.15E-02
100.062,-7.34E-02,2.175430298,7.14E-02
100.063,-7.33E-02,2.172321081,0.071306512
100.064,-7.33E-02,2.169226885,7.12E-02
100.06499,-7.32E-02,2.166100025,7.11E-02
100.06599,-7.32E-02,2.163014889,0.071039505
100.06699,-7.31E-02,2.159871101,7.09E-02
100.06799,-7.31E-02,2.156744719,7.09E-02
100.069,-0.073010691,2.153560638,7.08E-02
100.07,-7.30E-02,2.150417328,7.07E-02
100.071,-7.29E-02,2.147241116,0.070586585
100.072,-7.28E-02,2.144082785,7.05E-02
100.073,-0.07279557,2.140913963,7.04E-02
100.074,-0.0727413,2.137737513,7.03E-02
100.075,-7.27E-02,2.134553671,0.070221983
100.076,-7.26E-02,2.131336689,7.01E-02
100.077,-7.26E-02,2.128135681,0.070037454
