Structure Acceleration, RAO-Based Response,,
Line A: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [?s²],,
Line B: Structure Acceleration, RAO-Based Response - Global Y (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
Line C: Structure Acceleration, RAO-Based Response - Global X (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
,,,
*Time (s),Line A (?s?,Line B (mm/s?,Line C (mm/s?
103.354,3.05E-02,3.42E-02,2.564519411
103.355,3.05E-02,3.64E-02,2.562350128
103.356,3.05E-02,3.58E-02,2.559978748
103.357,3.04E-02,3.11E-02,2.557414584
103.358,3.04E-02,0.021781769,2.554741921
103.359,0.030352134,1.21E-02,2.552175196
103.36,0.030337906,3.92E-03,2.54977541
103.361,3.03E-02,-1.48E-03,2.547543496
103.362,3.04E-02,1.11E-03,2.545475494
103.363,3.04E-02,4.82E-02,2.543043811
103.364,3.04E-02,4.78E-02,-2.540991874
103.365,3.04E-02,0.019965271,-2.539232606
103.366,3.04E-02,1.42E-02,-2.537152963
103.367,3.04E-02,1.20E-02,-2.535033273
103.368,3.04E-02,1.11E-02,-2.532885177
103.369,3.05E-02,1.08E-02,-2.530744532
103.37,3.05E-02,1.08E-02,-2.528592246
103.371,3.05E-02,1.11E-02,-2.526428085
103.372,3.05E-02,1.15E-02,-2.524255076
103.373,3.05E-02,1.19E-02,-2.522080671
103.374,3.05E-02,1.25E-02,-2.519907895
103.375,3.05E-02,1.32E-02,-2.517731627
103.376,3.06E-02,1.39E-02,-2.515546046
103.377,3.06E-02,0.014584122,-2.513344632
103.378,3.06E-02,1.54E-02,-2.511133673
103.379,3.06E-02,1.61E-02,-2.508921083
103.38,3.06E-02,1.70E-02,-2.506685443
103.381,3.06E-02,1.78E-02,-2.504470991
103.382,3.06E-02,1.86E-02,-2.502228133
103.383,3.07E-02,1.95E-02,-2.499978058
103.384,3.07E-02,2.03E-02,-2.497713314
103.385,3.07E-02,2.12E-02,-2.495435765
103.386,3.07E-02,2.20E-02,-2.493152861
