na, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global Z (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²]
,
*Time (s),Line A (mm/s?
103.946,-3.18872137
103.947,-3.190022428
103.948,-3.192732111
103.949,-3.19549907
103.95,-3.196977312
103.951,-3.19689
103.952,-3.196039936
103.953,-3.195453435
103.954,-3.195394063
103.955,-3.195329569
103.956,-3.194569144
103.957,-3.19300103
103.958,-3.191387281
103.959,-3.191161901
103.96,-3.193494398
103.961,-3.198135411
103.962,-3.20191728
103.963,-3.200608073
103.964,-3.194808261
103.965,-3.189842682
103.966,-3.189726267
103.967,-3.196075093
103.968,-3.205229063
103.969,-3.206844442
103.97,-3.200058825
103.971,-3.190512536
103.972,-3.18974047
103.973,-3.200195031
103.974,-3.210488008
103.975,-3.209576476
103.976,-3.197250189
103.977,-3.189417301
103.978,-3.197877435
103.979,-3.213078948
103.98,-3.214754164
103.981,-3.200508654
103.982,-3.190403571
103.983,-3.204125445
103.984,-3.219916485
103.985,-3.214586526
103.986,-3.195347497
103.987,-3.19555332
103.988,-3.217683639
103.989,-3.223807784
103.99,-3.20340856
103.991,-3.194371238
103.992,-3.217960475
103.993,-3.22869001
103.994,-3.204796463
103.995,-3.197007347
103.996,-3.225306282
103.997,-3.22896312
103.998,-3.20056593
103.999,-3.206151538
104,-3.237995086
,-3.247923683
