Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global RX (Trimaran) [°/s²]
Line B: Structure Acceleration, RAO-Based Response - Global RY (Trimaran) [°/s²]
Line C: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [°/s²]

*Time (s),Line A (°/s²),Line B (°/s²),Line C (°/s²)
99.564,-.142197012901306,-4.07622957229614,.115072093904018
99.565,-.150010138750076,-4.05384206771851,.116564236581326
99.566,-.158499479293823,-4.03124809265137,.118176467716694
99.567,-.167751252651215,-4.00841760635376,.119924701750278
99.568,-.177866265177727,-3.98531842231751,.12182804197073
99.569,-.188965439796448,-3.96190977096558,.123908758163452
99.57,-.201191678643227,-3.93815040588379,.126194015145302
99.571,-.214718759059906,-3.91397500038147,.128716334700584
99.572,-.229756683111191,-3.88932013511658,.131515994668007
99.573,-.246561780571938,-3.8640763759613,.134642243385315
99.57401,-.265420466661453,-3.83768701553345,.138159349560738
99.575,-.286796182394028,-3.81087756156921,.142139881849289
99.576,-.311143606901169,-3.78277182579041,.146687999367714
99.577,-.339154094457626,-3.75352120399475,.151931822299957
99.578,-.371625125408173,-3.72229862213135,.158045276999474
99.579,-.40968644618988,-3.68898868560791,.165252268314362
99.58,-.454747915267944,-3.65236520767212,.173868387937546
99.581,-.508893430233002,-3.61167335510254,.184339120984077
99.582,-.574889481067657,-3.56464719772339,.197319075465202
99.583,-.656877636909485,-3.50876927375793,.213800013065338
99.584,-.760592818260193,-3.43847990036011,.235344707965851
99.585,-.894700050354004,-3.34585046768188,.264529347419739
99.586,-1.07097375392914,-3.21564793586731,.30577477812767
99.587,-1.30237126350403,-3.0213098526001,.366814374923706
99.58801,-1.57602798938751,-2.68327188491821,.427739977836609
99.589,-1.79620230197906,-2.18418908119202,.455191940069199
99.59,-2.0141065120697,-1.64456260204315,.45212110877037
99.591,-2.1099328994751,-.846484959125519,.344962149858475
99.592,-2.0412323474884,-.35054686665535,.271496742963791
99.593,-1.76895904541016,.136314406991005,.220575079321861
99.594,-1.50834119319916,.424710720777512,.186477333307266
99.595,-1.30082488059998,.591309309005737,.162799254059792
99.596,-1.13821160793304,.69231766462326,.145608708262444
99.597,-1.00965774059296,.755631864070892,.132661387324333
99.598,-.906654477119446,.79629510641098,.122619584202766
99.599,-.822837769985199,.822367787361145,.114648140966892
99.6,-.753779232501984,.838938295841217,.108201920986176
99.601,-.696158230304718,.848782122135162,.102912753820419
99.60201,-.647633790969849,.853933990001679,9.85225066542625E-02
99.603,-.606434464454651,.855663180351257,9.48455855250359E-02
99.604,-.571248233318329,.854953169822693,9.17445346713066E-02
99.605,-.540991485118866,.852192759513855,8.91172885894775E-02
99.606,-.514938294887543,.848151624202728,8.68831276893616E-02
99.607,-.492350995540619,.84270191192627,8.49822238087654E-02
99.608,-.472793430089951,.836416661739349,8.33638980984688E-02
99.609,-.455825954675674,.829363524913788,8.19891020655632E-02
99.61,-.441110074520111,.82168447971344,8.08259546756744E-02
99.611,-.428339898586273,.813365280628204,7.98482745885849E-02
99.612,-.417323231697083,.804722487926483,7.90328904986382E-02
99.613,-.407837331295013,.795709550380707,.078361913561821
99.614,-.399711042642593,.786373019218445,7.78194665908813E-02
99.615,-.39281490445137,.776874005794525,.077391117811203
99.616,-.386966228485107,.766909837722778,7.70677179098129E-02
99.617,-.382108688354492,.756844222545624,7.68366307020187E-02
99.618,-.378142923116684,.746700763702393,7.66888558864594E-02
99.619,-.374945163726807,.736274838447571,7.66181200742722E-02
99.62,-.372436344623566,.725585222244263,7.66171291470528E-02
99.621,-.370601773262024,.714982748031616,7.66772776842117E-02
99.622,-.36932161450386,.704139351844788,7.67950713634491E-02
99.623,-.368573814630508,.693293273448944,7.69636556506157E-02
99.624,-.368266969919205,.682229399681091,7.71794244647026E-02
99.625,-.36838909983635,.67118114233017,7.74365365505219E-02
99.626,-.368854939937592,.659929156303406,7.77320489287376E-02
99.627,-.369659870862961,.648707151412964,.078060582280159
99.628,-.370742321014404,.637409150600433,7.84188956022263E-02
99.629,-.372062861919403,.626041531562805,7.88032934069633E-02
99.63,-.373543173074722,.614384233951569,7.92114362120628E-02
99.631,-.375227898359299,.602898418903351,7.96374008059502E-02
99.632,-.377019286155701,.591246604919434,8.00794363021851E-02
99.633,-.378947585821152,.579780578613281,8.05327221751213E-02
99.634,-.380891531705856,.568049728870392,8.09957161545753E-02
99.635,-.38287690281868,.556404829025269,8.14629271626472E-02
99.636,-.384844720363617,.544743955135346,8.19310396909714E-02
99.637,-.386752247810364,.533072233200073,8.23956876993179E-02
99.638,-.38856104016304,.52140349149704,8.28526690602303E-02
99.639,-.390230149030685,.509749591350555,8.32974910736084E-02
99.64,-.391699284315109,.498004198074341,8.37266445159912E-02
99.641,-.392980188131332,.486408412456512,8.41353535652161E-02
99.642,-.394014835357666,.474859625101089,8.45199599862099E-02
99.643,-.394772619009018,.463366121053696,8.48770514130592E-02
99.644,-.395194977521896,.451829075813293,8.52027237415314E-02
99.645,-.395297110080719,.44048485159874,8.54925066232681E-02
99.646,-.395017623901367,.429235935211182,8.57420861721039E-02
99.647,-.394295424222946,.417977690696716,8.59473273158073E-02
99.648,-.393165022134781,.407069444656372,8.61024633049965E-02
99.649,-.391485333442688,.396066695451736,8.62034186720848E-02
99.65,-.389311492443085,.385442733764648,8.62435325980186E-02
99.651,-.386497408151627,.374756097793579,8.62179324030876E-02
99.652,-.383089423179627,.364477634429932,8.61188918352127E-02
99.653,-.378936976194382,.354170382022858,8.59408676624298E-02
99.654,-.374075442552567,.344305425882339,8.56748595833778E-02
99.655,-.368342310190201,.334439307451248,8.53136777877808E-02
99.656,-.361739844083786,.324937075376511,8.48474279046059E-02
99.65701,-.354142338037491,.315584421157837,8.42668637633324E-02
99.658,-.345506846904755,.306622534990311,8.35599452257156E-02
99.659,-.335712134838104,.297951012849808,.08271474391222
99.66,-.324649035930634,.289580762386322,.08171746134758
99.661,-.312195032835007,.281517773866653,8.05529877543449E-02
99.662,-.298210680484772,.273768156766891,7.92038589715958E-02
99.663,-.282536268234253,.266323506832123,.07765032351017
99.664,-.264993369579315,.259176909923553,7.58704915642738E-02
99.665,-.245371773838997,.252298891544342,7.38386213779449E-02
99.666,-.22343347966671,.245650500059128,7.15256184339523E-02
99.667,-.198894426226616,.239166915416718,6.88969269394875E-02
99.668,-.171417102217674,.232644841074944,6.59136697649956E-02
99.669,-.14065720140934,.226285338401794,6.25270903110504E-02
99.67,-.106125481426716,.219443410634995,5.86858130991459E-02
99.67101,-6.73305466771126E-02,.212188884615898,5.43225407600403E-02
99.672,-2.36571207642555E-02,.204026818275452,4.93617728352547E-02
99.673,2.57187951356173E-02,.193602368235588,4.38705570995808E-02
99.674,8.16401243209839E-02,.179458275437355,3.78930382430553E-02
99.675,.144739717245102,.16135048866272,3.10579035431147E-02
99.676,.215958774089813,.138107016682625,2.32162214815617E-02
99.677,.296234726905823,.107524685561657,1.41951888799667E-02
99.678,.386409759521484,6.67618587613106E-02,3.7869131192565E-03
99.679,.487038344144821,1.20799234136939E-02,-8.2562044262886E-03
99.68,.59782350063324,-6.19698539376259E-02,-2.22098045051098E-02
99.681,.717368721961975,-.161511853337288,-3.83984260261059E-02
99.682,.841628730297089,-.294854551553726,-5.71365617215633E-02
99.683,.963152527809143,-.470517009496689,-7.87180513143539E-02
99.684,1.06918227672577,-.696480631828308,-.103299178183079
99.68501,1.14022552967072,-.973637521266937,-.130758985877037
99.686,1.03350412845612,-1.11143493652344,-.155319795012474
99.687,.906789720058441,-1.24022543430328,-.181204691529274
99.688,.765748023986816,-1.35331654548645,-.207408830523491
99.689,.618500113487244,-1.4465115070343,-.232875943183899
99.69,.472208589315414,-1.51889443397522,-.256680309772491
99.691,.341851443052292,-1.52717077732086,-.264864832162857
99.692,.25398451089859,-1.44711315631866,-.247208029031754
99.693,.191740974783897,-1.37754511833191,-.231455400586128
99.694,.146545946598053,-1.31821370124817,-.217456609010696
99.695,.112946890294552,-1.26788735389709,-.205048143863678
99.696,8.73210355639458E-02,-1.22505342960358,-.194045573472977
99.697,6.65667578577995E-02,-1.18770372867584,-.184222370386124
99.698,4.91872876882553E-02,-1.15456092357635,-.175410956144333
99.69901,3.41131128370762E-02,-1.12453413009644,-.167458802461624
99.7,2.06544380635023E-02,-1.0967925786972,-.16023725271225
99.701,8.51751305162907E-03,-1.0708874464035,-.153649657964706
99.702,-2.8868755325675E-03,-1.04603517055511,-.147587954998016
99.703,-1.34669989347458E-02,-1.02223420143127,-.141999781131744
99.704,-2.36874707043171E-02,-.998960018157959,-.136406436562538
99.705,-3.52339036762714E-02,-.975015044212341,-.127502396702766
99.706,-.045941561460495,-.951944708824158,-.119321845471859
99.707,-5.62910847365856E-02,-.929089486598969,-.111763477325439
99.708,-.066095769405365,-.906747102737427,-.104788281023502
99.709,-.075667105615139,-.884473562240601,-9.83305647969246E-02
99.71,-8.48104059696198E-02,-.862612724304199,-9.23706367611885E-02
99.711,-9.38121974468231E-02,-.840744614601135,-8.68608951568604E-02
99.712,-.102482639253139,-.819242835044861,-8.17950516939163E-02
99.71301,-.111097671091557,-.797695457935333,-7.71384015679359E-02
