Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global Z (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²]
Line B: Structure Acceleration, RAO-Based Response - Global RX (Trimaran) [°/s²]

*Time (s),Line A (mm/s²),Line B (°/s²)
98.849,-7.18572922050953,-.211664870381355
98.85,-7.18714669346809,-.209742188453674
98.851,-7.18856137245893,-.207715705037117
98.852,-7.18994624912739,-.205577060580254
98.853,-7.19133485108614,-.203319773077965
98.854,-7.19272112473845,-.200935229659081
98.855,-7.19408644363284,-.19841530919075
98.856,-7.19544710591435,-.195749282836914
98.85699,-7.19677284359932,-.192927733063698
98.85799,-7.19812419265509,-.189939320087433
98.85899,-7.19947554171085,-.186771243810654
98.86,-7.2007761336863,-.183410793542862
98.861,-7.20209488645196,-.179841816425323
98.862,-7.20340898260474,-.17604948580265
98.863,-7.20465974882245,-.172015428543091
98.864,-7.20594078302383,-.16772024333477
98.865,-7.20721250399947,-.163142532110214
98.866,-7.20848236232996,-.158258497714996
98.867,-7.20972055569291,-.15304234623909
98.868,-7.21094571053982,-.147463649511337
98.869,-7.21217272803187,-.141491338610649
98.87,-7.21338437870145,-.135088175535202
98.87099,-7.21457414329052,-.12821452319622
98.87199,-7.21577694639564,-.120825484395027
98.87299,-7.21698626875877,-.112869039177895
98.874,-7.21815042197704,-.10428961366415
98.875,-7.21930246800184,-9.50212627649307E-02
98.876,-7.22045823931694,-.084990456700325
98.877,-7.2215935215354,-7.41151869297028E-02
98.878,-7.22272135317326,-.062303077429533
98.879,-7.22384313121438,-4.94535565376282E-02
98.88,-7.22496584057808,-3.54538969695568E-02
98.881,-7.22606014460325,-2.01724302023649E-02
98.882,-7.22714513540268,-3.45818349160254E-03
98.883,-7.22820032387972,.014862491749227
98.884,-7.22928019240499,3.49853783845901E-02
98.88499,-7.23036704584956,5.71357868611813E-02
98.88599,-7.23139848560095,8.15711915493011E-02
98.88699,-7.23245181143284,.108581863343716
98.888,-7.23350280895829,.138491079211235
98.889,-7.23450444638729,.171667233109474
98.89,-7.23549397662282,.208497017621994
98.891,-7.23651656880975,.249386429786682
98.892,-7.2375163435936,.294725894927979
98.893,-7.23848817870021,.344850450754166
98.894,-7.2394572198391,.399952948093414
98.895,-7.24044116213918,.459980845451355
98.896,-7.24138645455241,.524466514587402
98.897,-7.24234199151397,.592346668243408
98.89799,-7.24326819181442,.661796569824219
98.89899,-7.24423537030816,.73014497756958
98.89999,-7.24516529589891,.794029355049133
98.90099,-7.24609429016709,.849859237670898
98.902,-7.24705215543509,.894477605819702
98.903,-7.24797230213881,.92587673664093
98.904,-7.24890362471342,.943555295467377
98.905,-7.24983215332031,.948448717594147
98.906,-7.25077418610454,.942493438720703
98.907,-7.25170271471143,.928034543991089
98.908,-7.25264847278595,.907394707202911
98.909,-7.25339027121663,.882572948932648
98.91,-7.25411158055067,.855161488056183
98.911,-7.25482357665896,.826364755630493
98.91199,-7.2555155493319,.797034204006195
98.91299,-7.25620798766613,.767767727375031
98.91399,-7.25692510604858,.738968729972839
98.91499,-7.25763710215688,.710895895957947
98.916,-7.25834351032972,.683718502521515
98.917,-7.25909555330873,.657550096511841
98.918,-7.25984247401357,.632456123828888
98.919,-7.26061733439565,.608476579189301
98.92,-7.26144062355161,.586061716079712
98.921,-7.26229976862669,.566803395748138
98.922,-7.26314075291157,.550748586654663
98.923,-7.26402504369617,.537526845932007
98.924,-7.26468814536929,.526772797107697
98.925,-7.26517010480165,.518155515193939
98.92599,-7.26564461365342,.511379957199097
98.92699,-7.26614240556955,.506171047687531
98.92799,-7.26666441187263,.502281427383423
98.92899,-7.26722227409482,.499484688043594
98.93,-7.26781040430069,.497571498155594
98.931,-7.2684558108449,.496356785297394
98.932,-7.26913753896952,.495658576488495
98.933,-7.26988725364208,.495308786630631
98.934,-7.2706863284111,.495146661996841
98.935,-7.27160042151809,.495012938976288
98.936,-7.27178109809756,.494729220867157
98.937,-7.27179041132331,.494150102138519
98.938,-7.27169029414654,.493108719587326
98.939,-7.27148912847042,.491428047418594
98.93999,-7.27118737995625,.488913685083389
98.94099,-7.27075897157192,.485349893569946
98.94199,-7.2702644392848,.480496287345886
98.94299,-7.26971309632063,.474071383476257
98.944,-7.26910913363099,.465744733810425
98.945,-7.26850656792521,.45512992143631
98.946,-7.2678835131228,.441752403974533
98.947,-7.26735405623913,.425378531217575
98.948,-7.26696383208036,.406840175390244
98.949,-7.26675894111395,.386264860630035
98.95,-7.26670864969492,.363402843475342
98.951,-7.26675661280751,.337935775518417
98.952,-7.26696895435452,.309467017650604
98.953,-7.26725766435266,.277495682239532
98.95399,-7.26764323189855,.241399616003036
98.95499,-7.26809352636337,.200404405593872
98.95599,-7.26859970018268,.15356171131134
98.957,-7.26915616542101,9.97315272688866E-02
98.958,-7.2697214782238,3.75934429466724E-02
98.959,-7.27029470726848,-3.42704728245735E-02
98.96,-7.27086747065187,-.117150902748108
98.961,-7.27142719551921,-.211743414402008
98.962,-7.27201113477349,-.317344725131989
98.963,-7.27251823991537,-.43077826499939
98.964,-7.27303186431527,-.545616567134857
98.965,-7.27351056411862,-.652725756168365
98.966,-7.27397250011563,-.742854416370392
98.967,-7.27436970919371,-.810081124305725
98.96799,-7.27475993335247,-.853610455989838
98.96899,-7.27512035518885,-.876786887645721
98.96999,-7.27544305846095,-.884709179401398
98.971,-7.27570336312056,-.882293879985809
98.972,-7.27595947682858,-.873467743396759
98.973,-7.27619556710124,-.860949993133545
98.974,-7.27638509124517,-.846541047096252
98.975,-7.27654108777642,-.831372082233429
98.976,-7.27670080959797,-.816124081611633
98.977,-7.27680511772633,-.801195561885834
98.978,-7.27687822654843,-.78679895401001
98.979,-7.27695738896728,-.773059010505676
98.98,-7.27700348943472,-.760015785694122
98.981,-7.27704633027315,-.747686982154846
98.98199,-7.27708637714386,-.736063420772552
98.98299,-7.27710640057921,-.725121200084686
98.98399,-7.27708730846643,-.714841067790985
98.985,-7.27707566693425,-.705190002918243
98.986,-7.27707706391811,-.696167707443237
98.987,-7.27703794836998,-.687742292881012
98.988,-7.27702351287007,-.679900169372559
98.989,-7.27699184790254,-.672628343105316
98.99,-7.27693922817707,-.665922105312347
98.991,-7.27693643420935,-.659781098365784
98.992,-7.27688800543547,-.654196679592133
98.993,-7.27685214951634,-.649174094200134
98.994,-7.27679673582315,-.644719898700714
98.995,-7.2767585515976,-.640841007232666
98.99599,-7.27673061192036,-.637546062469482
98.99699,-7.27668404579163,-.634846568107605
98.99799,-7.27662118151784,-.632753014564514
98.999,-7.27658532559872,-.631273210048676
99,-7.27655785158277,-.630431175231934
99.001,-7.27652059867978,-.630230009555817
99.002,-7.27650476619601,-.630678057670593
99.003,-7.27650010958314,-.631785988807678
99.004,-7.27646285668015,-.633555948734284
99.005,-7.27647310122848,-.635987758636475
99.006,-7.27647915482521,-.639079749584198
99.007,-7.27652153000236,-.642816722393036
99.008,-7.27661605924368,-.647182941436768
99.009,-7.27671897038817,-.652147531509399
99.00999,-7.27684795856476,-.657680153846741
99.01099,-7.27707566693425,-.663736820220947
99.01199,-7.27732479572296,-.670260369777679
99.013,-7.27763026952744,-.677179992198944
99.014,-7.27804517373443,-.684437930583954
99.015,-7.27859418839216,-.691947877407074
99.016,-7.27920047938824,-.699617803096771
99.017,-7.28002144023776,-.707359373569489
99.018,-7.28098163381219,-.715067744255066
99.019,-7.28065147995949,-.722594261169434
99.02,-7.2791394777596,-.729848206043243
99.021,-7.27764377370477,-.736785292625427
99.022,-7.27616110816598,-.743322730064392
99.02299,-7.27473385632038,-.749387741088867
99.02399,-7.27340113371611,-.754920840263367
99.02499,-7.2721429169178,-.759862720966339
99.02599,-7.27107189595699,-.764169752597809
99.027,-7.2701103053987,-.767785012722015
99.028,-7.26929632946849,-.770675957202911
99.029,-7.26872263476253,-.772790551185608
99.03,-7.2682942263782,-.774046242237091
99.031,-7.26798316463828,-.774347841739655
99.032,-7.26781971752644,-.773528337478638
99.033,-7.26853776723146,-.771085977554321
99.034,-7.26918084546924,-.767181396484375
99.035,-7.26959342136979,-.761712551116943
99.036,-7.2697727009654,-.754521131515503
99.03699,-7.26967118680477,-.745388150215149
99.03799,-7.26933078840375,-.734077990055084
99.03899,-7.26876594126225,-.720338106155396
99.03999,-7.26801156997681,-.70392781496048
99.041,-7.26712727919221,-.684628069400787
99.042,-7.26612331345677,-.662290930747986
99.043,-7.26503459736705,-.636852264404297
99.044,-7.2639025747776,-.608376741409302
99.045,-7.26298894733191,-.57706755399704
99.046,-7.26400874555111,-.543217778205872
