Structure Acceleration, RAO-Based Response,,
Line A: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [?s²],,
Line B: Structure Acceleration, RAO-Based Response - Global Y (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
Line C: Structure Acceleration, RAO-Based Response - Global X (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
,,,
*Time (s),Line A (?s?,Line B (mm/s?,Line C (mm/s?
101.441,2.68E-03,1.129324781,2.631541807
101.442,0.002699199,1.136932522,2.626599278
101.443,2.72E-03,1.145529677,2.621190622
101.444,2.73E-03,1.155120088,2.615311649
101.445,2.74E-03,1.16573961,2.608930925
101.446,2.76E-03,1.177463331,2.601991175
101.447,2.76E-03,1.190401614,2.594444901
101.448,2.77E-03,1.204711734,2.586180577
101.449,2.77E-03,1.220592647,2.577085048
101.45,2.78E-03,1.237759949,2.567269141
101.451,2.78E-03,1.25429302,2.55761249
101.452,2.80E-03,1.269725617,2.548378427
101.453,2.82E-03,1.284075435,2.539551817
101.45399,2.84E-03,1.297348412,2.531182021
101.455,2.87E-03,1.309525222,2.523255767
101.456,2.91E-03,1.320702024,2.515777713
101.457,2.96E-03,1.331007341,2.508678939
101.458,3.01E-03,1.340597984,2.50189146
101.459,3.07E-03,1.349653234,2.495299326
101.46,3.13E-03,1.358446549,2.48881313
101.461,3.20E-03,1.367379213,2.482196549
101.462,3.27E-03,1.377169508,2.475049114
101.463,3.35E-03,1.389320474,2.466502832
101.464,3.44E-03,1.407928881,2.454184461
101.465,3.52E-03,1.450592419,2.427439438
101.466,3.61E-03,1.925302902,2.069291892
101.467,3.71E-03,-1.290993299,-2.513111802
101.468,3.80E-03,-1.359563204,-2.475416055
101.469,3.89E-03,-1.387545723,-2.458596369
101.47,3.97E-03,-1.407127362,-2.446202561
101.471,4.06E-03,-1.424044138,-2.435173141
101.472,4.15E-03,-1.440161723,-2.424456179
101.473,4.23E-03,-1.45629968,-2.413570881
101.474,4.31E-03,-1.472883043,-2.402281621
101.475,4.39E-03,-1.490131486,-2.390433569
101.476,4.48E-03,-1.508148969,-2.377920551
101.477,4.56E-03,-1.526956446,-2.364719287
101.478,4.64E-03,-1.546499087,-2.350823022
101.479,4.72E-03,-1.566645922,-2.336287638
101.48,4.81E-03,-1.587213832,-2.32122466
101.481,4.89E-03,-1.607939834,-2.305779373
101.482,4.97E-03,-1.628503902,-2.290131291
101.483,5.05E-03,-1.648555393,-2.274589147
