Structure Acceleration, RAO-Based Response,,
Line A: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [?s²],,
Line B: Structure Acceleration, RAO-Based Response - Global Y (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
Line C: Structure Acceleration, RAO-Based Response - Global X (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
,,,
*Time (s),Line A (?s?,Line B (mm/s?,Line C (mm/s?
102.56001,-8.94E-03,-0.16629936,-1.849909197
102.561,-8.93E-03,-0.165096586,-1.849364373
102.562,-8.91E-03,-0.163763645,-1.848827582
102.563,-8.89E-03,-0.162282304,-1.848293236
102.564,-8.88E-03,-0.160629541,-1.847757143
102.565,-8.86E-03,-0.158782626,-1.84725062
102.566,-8.84E-03,-0.15671154,-1.846760162
102.567,-8.83E-03,-0.15438025,-1.846272848
102.568,-8.81E-03,-0.151735236,-1.845819061
102.569,-8.79E-03,-0.14872363,-1.845359104
102.57,-8.78E-03,-0.145263781,-1.844946179
102.571,-8.76E-03,-0.141261407,-1.844557235
102.572,-8.74E-03,-0.136585761,-1.844222425
102.573,-8.73E-03,-0.131048597,-1.843924052
102.57401,-8.71E-03,-0.124406768,-1.843659673
102.575,-8.69E-03,-0.116284413,-1.843467006
102.576,-8.68E-03,-0.106136147,-1.843367587
102.577,-8.66E-03,-9.31E-02,-1.843341277
102.578,-8.64E-03,-7.57E-02,-1.84341229
102.579,-8.63E-03,-5.13E-02,-1.843516249
102.58,-8.61E-03,-1.47E-02,-1.843438484
102.581,-8.60E-03,0.04704672,-1.84215745
102.582,-8.58E-03,0.173029912,-1.833863207
102.583,-8.56E-03,0.562820002,-1.753128367
102.584,-8.55E-03,1.715250546,0.667253567
102.585,-8.54E-03,0.66753116,1.714284183
102.586,-8.52E-03,0.420037191,1.790203038
102.587,-8.51E-03,0.312128046,1.811242779
102.58801,-8.50E-03,0.24928106,1.820053672
102.589,-8.49E-03,0.209980499,1.824114006
102.59,-8.48E-03,0.186490943,1.825794345
102.591,-8.47E-03,0.173887864,1.826219494
102.592,-8.45E-03,0.168315892,1.82592601
102.593,-8.44E-03,0.167601203,1.825223328
102.594,-8.42E-03,0.170406725,1.824188046
102.595,-8.40E-03,0.175872759,1.822921564
102.596,-8.38E-03,0.18342871,1.821445767
102.597,-8.36E-03,0.192662192,1.81976438
102.598,-8.34E-03,0.203284668,1.81790127
102.599,-8.32E-03,0.21507265,1.815813594
102.6,-8.30E-03,0.227867073,1.813539886
102.601,-8.28E-03,0.241532776,1.811068971
102.60201,-8.26E-03,0.255275692,1.808432513
102.603,-8.24E-03,0.266458344,1.806083019
102.604,-8.22E-03,0.274801918,1.804054249
102.605,-8.21E-03,0.280673354,1.802365761
102.606,-8.19E-03,0.28437213,1.800996135
102.607,-8.17E-03,0.286143681,1.799925813
102.608,-8.15E-03,0.286196475,1.799114281
102.609,-8.13E-03,0.284717564,1.798557001
102.61,-8.12E-03,0.281859975,1.79822091
102.611,-8.10E-03,0.277765124,1.79809914
102.612,-8.08E-03,0.272552395,1.798126381
102.613,-8.05E-03,0.266343937,1.798350131
102.614,-8.03E-03,0.259234075,1.798685291
102.615,-8.01E-03,0.25176513,1.799095771
102.616,-7.98E-03,0.245692558,1.799268532
102.617,-7.96E-03,0.241282964,1.799163292
102.618,-7.94E-03,0.238392022,1.798834768
102.619,-7.91E-03,0.236865162,1.798267476
102.62,-7.90E-03,0.236569365,1.79749669
102.621,-7.88E-03,0.237359534,1.796532655
102.622,-7.87E-03,0.239101821,1.795355347
102.623,-7.86E-03,0.241660367,1.794014359
102.624,-7.85E-03,0.244894123,1.79247139
102.625,-7.85E-03,0.248658325,1.790765207
102.626,-7.85E-03,0.252578582,1.788961352
102.627,-7.85E-03,0.256095664,1.787180197
102.628,-7.85E-03,0.258816959,1.785541186
102.629,-7.84E-03,0.260703557,1.784091815
102.63,-7.83E-03,0.261933397,1.782839885
102.631,-7.82E-03,0.26266498,1.781755593
102.632,-7.80E-03,0.263094116,1.78081682
102.633,-7.78E-03,0.263402238,1.780036255
102.634,-7.75E-03,0.26378606,1.779349288
102.635,-7.72E-03,0.264443137,1.778759644
102.636,-7.67E-03,0.265582028,1.778256963
102.637,-7.63E-03,0.267304655,1.777738798
102.638,-7.59E-03,0.269284385,1.777102239
102.639,-7.55E-03,0.271183846,1.775897923
102.64,-7.52E-03,0.272814796,1.774500939
102.641,-7.50E-03,0.273977756,1.773335505
102.642,-7.49E-03,0.27446379,1.772414311
102.643,-7.48E-03,0.27406303,1.771810697
102.644,-7.48E-03,0.272547943,1.771152718
102.645,-0.007487201,0.269669341,1.770129777
102.646,-7.50E-03,0.265193172,1.769208
102.647,-7.52E-03,0.259250228,1.768390415
102.648,-7.53E-03,0.253316335,1.767655136
102.649,-7.54E-03,0.247921096,1.766960951
102.65,-7.54E-03,0.243196788,1.76629913
102.651,-7.53E-03,0.239276298,1.765648602
